feature,score
dx735,5019
dx554,4706
dx363,4621
dx591,4411
dx368,4375
dx367,4315
dx58,4228
dx549,4215
dx6,4177
dx189,4149
dx191,4118
dx1,4109
dx148,4097
dx856,4066
dx404,4013
dx135,3999
dx606,3936
dx235,3815
dx115,3805
dx951,3782
dx2,3780
dx413,3740
dx944,3739
dx8,3736
dx352,3694
dx406,3691
dx95,3627
dx96,3622
dx943,3620
dx383,3608
dx1026,3588
dx92,3561
dx820,3555
dx592,3551
dx28,3520
dx424,3500
dx25,3486
dx172,3463
dx825,3456
dx192,3451
dx584,3434
dx767,3434
dx94,3422
dx53,3405
dx107,3398
dx552,3396
dx13,3391
dx10,3390
dx227,3382
dx366,3379
dx114,3362
dx292,3353
dx878,3332
dx199,3332
dx43,3317
dx490,3312
dx226,3301
dx428,3300
dx79,3291
dx72,3289
dx29,3286
dx645,3284
dx9,3281
dx407,3275
dx106,3272
dx952,3253
dx27,3252
dx26,3251
dx41,3235
dx101,3217
dx112,3212
dx305,3200
dx134,3187
dx138,3171
dx999,3167
dx168,3151
dx607,3145
dx304,3138
dx486,3130
dx289,3128
dx236,3127
dx392,3126
dx59,3123
dx208,3117
dx11,3115
dx71,3112
dx137,3110
dx190,3108
dx228,3101
dx399,3094
dx38,3092
dx165,3088
dx1001,3065
dx462,3065
dx99,3064
dx323,3052
dx171,3051
dx146,3048
dx216,3046
dx193,3040
dx125,3040
dx131,3031
dx471,3013
dx173,2997
dx211,2987
dx940,2979
dx769,2968
dx98,2957
dx205,2949
dx42,2949
dx472,2940
dx44,2935
dx941,2934
dx1022,2933
dx214,2929
dx55,2928
dx183,2923
dx364,2918
dx200,2916
dx93,2910
dx82,2902
dx950,2898
dx21,2898
dx766,2898
dx83,2896
dx179,2893
dx651,2892
dx185,2892
dx234,2884
dx482,2879
dx113,2875
dx161,2875
dx118,2874
dx175,2871
dx163,2869
dx119,2863
dx169,2862
dx357,2860
dx37,2860
dx40,2858
dx239,2856
dx88,2855
dx3,2846
dx768,2842
dx238,2840
dx398,2840
dx299,2833
dx142,2830
dx124,2829
dx74,2817
dx141,2816
dx412,2816
dx219,2801
dx76,2793
dx122,2792
dx240,2789
dx132,2788
dx213,2785
dx65,2785
dx47,2784
dx395,2782
dx31,2781
dx150,2780
dx84,2775
dx110,2773
dx953,2772
dx551,2769
dx210,2768
dx159,2765
dx330,2760
dx362,2756
dx164,2754
dx158,2748
dx184,2748
dx89,2731
dx30,2725
dx20,2716
dx126,2711
dx1018,2710
dx204,2704
dx1011,2702
dx86,2696
dx16,2695
dx157,2693
dx62,2690
dx145,2674
dx160,2673
dx128,2672
dx162,2672
dx147,2667
dx879,2664
dx109,2647
dx822,2643
dx22,2642
dx52,2634
dx1049,2629
dx295,2623
dx140,2622
dx791,2617
dx294,2616
dx1010,2612
dx19,2605
dx212,2605
dx396,2602
dx237,2596
dx35,2593
dx14,2592
dx68,2590
dx24,2589
dx120,2585
dx57,2583
dx365,2578
dx223,2577
dx427,2576
dx17,2573
dx177,2571
dx298,2567
dx34,2567
dx149,2566
dx4,2558
dx431,2547
dx70,2536
dx461,2536
dx583,2532
dx293,2530
dx546,2525
dx829,2521
dx481,2516
dx51,2515
dx380,2514
dx178,2513
dx167,2511
dx180,2509
dx195,2509
dx182,2509
dx942,2508
dx329,2507
dx730,2506
dx156,2492
dx155,2490
dx117,2488
dx66,2486
dx474,2482
dx433,2479
dx218,2476
dx121,2465
dx129,2464
dx54,2458
dx556,2449
dx1023,2448
dx483,2441
dx995,2440
dx555,2432
dx181,2430
dx153,2429
dx81,2429
dx325,2417
dx123,2415
dx46,2413
dx222,2411
dx657,2410
dx652,2407
dx558,2395
dx50,2394
dx322,2374
dx90,2370
dx382,2370
dx429,2368
dx1003,2366
dx85,2364
dx977,2356
dx460,2347
dx188,2346
dx559,2345
dx80,2338
dx15,2331
dx656,2325
dx105,2324
dx270,2323
dx151,2319
dx209,2313
dx217,2313
dx67,2305
dx771,2304
dx430,2304
dx229,2291
dx408,2287
dx36,2287
dx1005,2282
dx176,2282
dx18,2270
dx987,2264
dx206,2262
dx1048,2260
dx154,2257
dx268,2257
dx655,2253
dx733,2252
dx986,2251
dx401,2227
dx533,2224
dx700,2224
dx152,2222
dx133,2221
dx476,2214
dx348,2214
dx981,2214
dx231,2211
dx1024,2209
dx778,2202
dx255,2195
dx548,2195
dx762,2187
dx985,2174
dx390,2172
dx473,2167
dx478,2163
dx356,2162
dx824,2160
dx475,2156
dx87,2153
dx233,2139
dx593,2133
dx232,2132
dx633,2131
dx56,2129
dx7,2124
dx982,2124
dx91,2123
dx166,2114
dx361,2113
dx49,2109
dx296,2108
dx186,2101
dx198,2099
dx354,2096
dx337,2093
dx230,2093
dx479,2088
dx207,2084
dx215,2073
dx1004,2072
dx956,2071
dx187,2069
dx130,2056
dx379,2054
dx418,2053
dx266,2051
dx197,2050
dx78,2045
dx75,2044
dx436,2030
dx852,2029
dx434,2026
dx23,2021
dx246,2019
dx823,2010
dx136,2005
dx48,2005
dx63,2004
dx960,2001
dx689,1994
dx102,1991
dx997,1986
dx560,1983
dx397,1978
dx777,1973
dx359,1972
dx372,1970
dx585,1956
dx992,1950
dx326,1948
dx144,1947
dx955,1939
dx353,1938
dx685,1936
dx336,1931
dx959,1928
dx374,1928
dx1020,1925
dx373,1921
dx297,1920
dx550,1919
dx763,1909
dx307,1909
dx996,1908
dx143,1901
dx432,1894
dx984,1889
dx33,1889
dx979,1879
dx866,1878
dx734,1877
dx851,1870
dx346,1863
dx1019,1856
dx511,1854
dx220,1845
dx988,1842
dx576,1841
dx954,1841
dx957,1839
dx868,1834
dx403,1833
dx127,1833
dx553,1829
dx731,1826
dx601,1822
dx480,1815
dx842,1809
dx629,1799
dx349,1798
dx405,1796
dx400,1790
dx990,1787
dx61,1786
dx371,1785
dx1016,1777
dx459,1777
dx484,1775
dx350,1774
dx909,1773
dx737,1762
dx626,1758
dx946,1757
dx252,1756
dx494,1753
dx590,1749
dx698,1746
dx826,1738
dx477,1709
dx224,1691
dx306,1688
dx789,1685
dx389,1681
dx485,1677
dx557,1676
dx286,1674
dx409,1668
dx73,1668
dx976,1666
dx792,1664
dx339,1664
dx111,1659
dx648,1654
dx772,1654
dx384,1654
dx993,1652
dx358,1638
dx288,1629
dx1103,1629
dx196,1628
dx257,1628
dx506,1619
dx338,1618
dx1029,1614
dx1015,1612
dx949,1608
dx978,1607
dx108,1603
dx272,1601
dx790,1598
dx736,1598
dx963,1592
dx435,1585
dx225,1580
dx1021,1578
dx347,1573
dx509,1557
dx732,1551
dx681,1544
dx654,1536
dx983,1535
dx958,1534
dx327,1530
dx464,1530
dx605,1530
dx284,1519
dx534,1517
dx890,1514
dx867,1505
dx285,1503
dx271,1502
dx12,1498
dx947,1491
dx344,1485
dx765,1485
dx393,1483
dx388,1479
dx342,1478
dx613,1474
dx1055,1463
dx340,1462
dx355,1460
