feature,score
rx767,15595
rx363,15196
rx148,14865
rx2,14705
rx368,14494
rx554,13656
rx367,13022
rx6,12479
rx114,12416
rx352,12387
rx58,12340
rx606,12276
rx944,12267
rx735,12145
rx951,11916
rx171,11881
rx952,11406
rx189,11384
rx115,11265
rx29,11240
rx235,11197
rx940,11177
rx406,11149
rx191,11131
rx53,11103
rx137,11056
rx26,11015
rx791,10979
rx82,10946
rx226,10910
rx407,10862
rx193,10846
rx38,10510
rx28,10493
rx941,10441
rx10,10416
rx107,10351
rx236,10345
rx364,10297
rx584,10285
rx96,10280
rx9,10172
rx392,10119
rx200,10079
rx134,9991
rx1,9914
rx92,9913
rx482,9893
rx135,9867
rx172,9840
rx192,9798
rx37,9793
rx79,9745
rx212,9714
rx8,9713
rx168,9709
rx95,9707
rx552,9702
rx950,9700
rx145,9690
rx204,9639
rx43,9515
rx199,9504
rx227,9434
rx180,9398
rx607,9395
rx234,9393
rx190,9389
rx55,9380
rx357,9361
rx65,9337
rx428,9318
rx138,9263
rx72,9225
rx305,9171
rx27,9144
rx549,9142
rx486,9127
rx169,9103
rx195,9079
rx113,9074
rx119,9053
rx110,9034
rx59,9023
rx161,9001
rx433,8962
rx125,8947
rx412,8860
rx101,8853
rx112,8839
rx42,8827
rx13,8809
rx146,8807
rx159,8770
rx175,8759
rx398,8738
rx11,8703
rx3,8675
rx591,8650
rx14,8648
rx25,8569
rx346,8548
rx71,8535
rx173,8500
rx592,8454
rx149,8441
rx228,8430
rx237,8410
rx879,8403
rx995,8335
rx153,8327
rx362,8304
rx167,8291
rx18,8268
rx162,8238
rx94,8235
rx769,8193
rx41,8187
rx490,8142
rx121,8132
rx109,8120
rx942,8112
rx99,8047
rx365,8039
rx211,8036
rx383,7980
rx645,7980
rx44,7961
rx164,7939
rx88,7930
rx106,7890
rx57,7889
rx178,7849
rx142,7846
rx150,7844
rx239,7837
rx205,7808
rx404,7801
rx21,7790
rx953,7780
rx181,7780
rx434,7766
rx84,7766
rx356,7732
rx163,7727
rx93,7726
rx76,7721
rx131,7679
rx366,7677
rx218,7677
rx126,7655
rx165,7607
rx822,7594
rx399,7584
rx122,7576
rx471,7574
rx1024,7510
rx19,7492
rx158,7487
rx820,7426
rx208,7414
rx323,7362
rx179,7361
rx51,7336
rx337,7324
rx210,7302
rx462,7289
rx293,7252
rx292,7234
rx120,7231
rx141,7217
rx214,7208
rx825,7186
rx70,7153
rx359,7114
rx361,7104
rx184,7063
rx183,7057
rx430,7047
rx778,7030
rx559,7026
rx336,7015
rx54,7013
rx75,7006
rx151,6999
rx20,6997
rx16,6981
rx422,6968
rx98,6963
rx229,6962
rx157,6958
rx481,6949
rx943,6948
