feature,score,min,max,n_null,n_gt1w
x148,2610,-1.0,22.45,19,0,numeric
x29,2424,-1.0,88.8,83,0,numeric
x138,2282,-1.0,77.19,83,0,numeric
x2,2226,-1.0,56.41,19,0,numeric
x767,2198,-1,302150,19,1541,numeric
x778,2171,-1,21777,19,1,numeric
x363,2139,0.0,692.0,0,0,numeric
x137,2138,-1.0,100.0,83,0,numeric
x578,2116,-1,8402,19,0,numeric
x135,2095,-1.0,77.8,83,0,numeric
x6,2095,-1.0,21.77,19,0,numeric
x791,2084,-1,29982,19,4,numeric
x951,2076,-1.0,14748.62,138,2,numeric
x944,2063,-1.0,3223695.97,285,136,numeric
x293,2051,-1.0,169691.14,19,474,numeric
x606,1996,-1,86220,19,96,numeric
x58,1996,-1.0,100.0,83,0,numeric
x96,1955,-1.0,100.0,83,0,numeric
x559,1945,-1,39032,19,122,numeric
x690,1884,-1,27933,19,3,numeric
x607,1867,-1,53193,19,10,numeric
x226,1773,-1.0,25.56,19,0,numeric
x193,1746,-1.0,50.32,19,0,numeric
x407,1717,-1,735855,19,83,numeric
x114,1712,-1.0,36.19,19,0,numeric
x367,1707,-1.0,33.2,92,0,numeric
x368,1699,-1.0,40.0,92,0,numeric
x211,1694,-1.0,100.0,131,0,numeric
x53,1694,-1.0,100.0,92,0,numeric
x161,1688,-1.0,100.0,131,0,numeric
x404,1677,-1,471,19,0,numeric
x218,1665,-1.0,22.9,131,0,numeric
x99,1654,-1.0,100.0,130,0,numeric
x26,1653,-1.0,85.71,83,0,numeric
x178,1651,-1.0,50.0,92,0,numeric
x940,1646,-1.0,342075.0,285,38,numeric
x433,1643,-1.0,2480.62,52,0,numeric
x142,1643,-1.0,100.0,130,0,numeric
x412,1630,-1,1000,19,0,numeric
x82,1628,-1.0,86.59,92,0,numeric
x234,1625,-1.0,32.22,92,0,numeric
x772,1624,-1,19913,19,5,numeric
x235,1608,-1.0,100.0,92,0,numeric
x524,1581,-1,40811,19,14,numeric
x735,1560,-1,443,19,0,numeric
x879,1541,-1,24864,19,4,numeric
x645,1540,-1,333,2386,0,numeric
x171,1534,-1.0,24.17,19,0,numeric
x592,1526,-1,131274,19,60,numeric
x364,1525,-1.0,100.0,92,0,numeric
x175,1524,-1.0,30.19,19,0,numeric
x486,1521,-1,2028938,20,9340,numeric
x159,1521,-1.0,46.1,92,0,numeric
x94,1519,-1.0,100.0,83,0,numeric
x549,1514,-1,343,846,0,numeric
x165,1510,-1.0,100.0,131,0,numeric
x771,1507,-1,122906,19,129,numeric
x28,1499,-1.0,100.0,83,0,numeric
x584,1497,-1,60288,19,45,numeric
x76,1492,-1.0,71.85,19,0,numeric
x98,1489,-1.0,100.0,130,0,numeric
x236,1471,-1.0,100.0,131,0,numeric
x482,1462,-1,135922,23,758,numeric
x563,1456,-1,18666,19,1,numeric
x212,1456,-1.0,100.0,131,0,numeric
x554,1455,-1,312,667,0,numeric
x829,1444,-1,39368,19,22,numeric
x93,1437,-1.0,100.0,83,0,numeric
x428,1437,-1.0,100.0,52,0,numeric
x143,1428,-1.0,100.0,130,0,numeric
x11,1425,-1.0,78.1,19,0,numeric
x68,1417,-1.0,100.0,130,0,numeric
x298,1413,-1.0,101377.31,19,591,numeric
x59,1402,-1.0,75.0,83,0,numeric
x25,1401,-1.0,66.05,83,0,numeric
x200,1400,-1.0,34.29,19,0,numeric
x134,1393,-1.0,100.0,83,0,numeric
x941,1387,-1.0,499087.41,285,67,numeric
x132,1379,-1.0,100.0,131,0,numeric
x406,1375,-1,16706,19,62,numeric
x286,1373,-1,66370,19,29,numeric
x229,1373,-1.0,34.76,19,0,numeric
x721,1372,-1,10829,19,2,numeric
x738,1368,-1,10181,19,1,numeric
x943,1367,-1.0,49966.49,285,8,numeric
x101,1366,-1.0,100.0,130,0,numeric
x252,1353,-1,95053,19,31,numeric
x119,1352,-1.0,56.37,92,0,numeric
x227,1350,-1.0,25.68,19,0,numeric
x95,1348,-1.0,79.68,83,0,numeric
x10,1346,-1.0,78.23,19,0,numeric
x462,1343,0,164,0,0,numeric
x224,1343,-1.0,51.2,19,0,numeric
x65,1341,-1.0,100.0,130,0,numeric
x141,1337,-1.0,100.0,130,0,numeric
x79,1328,-1.0,36.03,19,0,numeric
x189,1325,-1.0,24.0,19,0,numeric
x422,1323,-1,254,19,0,numeric
x43,1314,-1.0,83.56,19,0,numeric
x13,1313,-1.0,52.09,19,0,numeric
x145,1313,-1.0,20.91,19,0,numeric
x67,1312,-1.0,100.0,130,0,numeric
x9,1309,-1.0,33.88,19,0,numeric
x162,1296,-1.0,100.0,131,0,numeric
x591,1289,-1,657,19,0,numeric
x458,1286,0,37,0,0,numeric
x995,1281,-1,973,19,0,numeric
x210,1280,-1.0,76.82,92,0,numeric
x66,1278,-1.0,100.0,130,0,numeric
x42,1277,-1.0,48.37,19,0,numeric
x999,1276,-1,445,19,0,numeric
x270,1272,-1,371789,19,852,numeric
x92,1270,-1.0,100.0,83,0,numeric
x136,1265,-1.0,51.79,83,0,numeric
x199,1261,-1.0,27.08,19,0,numeric
x868,1255,-1,36415,19,2,numeric
x204,1250,-1.0,72.57,92,0,numeric
x110,1250,-1.0,46.23,19,0,numeric
x722,1246,-1,10945,19,1,numeric
x734,1243,-1,57114,19,128,numeric
x153,1240,-1.0,41.67,19,0,numeric
x144,1236,-1.0,100.0,130,0,numeric
x689,1228,-1,3359,19,0,numeric
x31,1221,-1.0,100.0,130,0,numeric
x168,1221,-1.0,24.11,19,0,numeric
x231,1218,-1.0,26.5,19,0,numeric
x115,1215,-1.0,41.8,19,0,numeric
x27,1208,-1.0,100.0,83,0,numeric
x873,1203,-1,5936,19,0,numeric
x246,1201,-1,199397,19,871,numeric
x716,1201,-1,129551,19,150,numeric
x107,1201,-1.0,31.87,19,0,numeric
x192,1198,-1.0,32.22,19,0,numeric
x55,1196,-1.0,100.0,131,0,numeric
x14,1196,-1.0,31.34,19,0,numeric
x239,1194,-1.0,52.78,131,0,numeric
x398,1189,-85,735674,22,1,numeric
x37,1185,-1.0,18.95,19,0,numeric
x123,1179,-1.0,100.0,131,0,numeric
x820,1176,-1,320,989,0,numeric
x139,1174,-1.0,35.15,83,0,numeric
x130,1167,-1.0,100.0,131,0,numeric
x959,1166,-1.0,247.14,4421,0,numeric
x172,1157,-1.0,51.72,19,0,numeric
x986,1152,-1,122,19,0,numeric
x4,1152,-1.0,78.13,19,0,numeric
x558,1151,-1,52514,19,145,numeric
x842,1151,-1,35156,19,9,numeric
