uid,n_null,discret_null
20001,40,2
20002,50,2
20003,42,2
20004,180,4
20005,826,5
20006,39,2
20007,177,4
20008,46,2
20009,47,2
20010,56,2
20011,32,1
20012,58,2
20013,180,4
20014,61,2
20015,69,2
20016,49,2
20017,41,2
20018,171,4
20019,46,2
20020,34,2
20021,53,2
20022,41,2
20023,58,2
20024,28,1
20025,40,2
20026,169,4
20027,54,2
20028,39,2
20029,28,1
20030,39,2
20031,151,4
20032,44,2
20033,54,2
20034,41,2
20035,40,2
20036,29,1
20037,45,2
20038,47,2
20039,54,2
20040,68,2
20041,59,2
20042,45,2
20043,169,4
20044,53,2
20045,57,2
20046,166,4
20047,52,2
20048,58,2
20049,66,2
20050,41,2
20051,50,2
20052,63,2
20053,51,2
20054,152,4
20055,50,2
20056,52,2
20057,52,2
20058,72,3
20059,247,5
20060,45,2
20061,57,2
20062,70,3
20063,48,2
20064,34,2
20065,40,2
20066,43,2
20067,168,4
20068,162,4
20069,58,2
20070,52,2
20071,79,3
20072,46,2
20073,173,4
20074,37,2
20075,54,2
20076,42,2
20077,65,2
20078,70,3
20079,48,2
20080,34,2
20081,40,2
20082,33,2
20083,35,2
20084,175,4
20085,60,2
20086,1043,5
20087,38,2
20088,59,2
20089,217,5
20090,36,2
20091,60,2
20092,172,4
20093,58,2
20094,177,4
20095,54,2
20096,71,3
20097,125,3
20098,50,2
20099,163,4
20100,44,2
20101,28,1
20102,43,2
20103,52,2
20104,66,2
20105,63,2
20106,72,3
20107,103,3
20108,52,2
20109,148,4
20110,58,2
20111,62,2
20112,49,2
20113,172,4
20114,50,2
20115,32,1
20116,165,4
20117,25,1
20118,44,2
20119,29,1
20120,54,2
20121,26,1
20122,58,2
20123,71,3
20124,162,4
20125,43,2
20126,59,2
20127,63,2
20128,26,1
20129,185,4
20130,186,4
20131,49,2
20132,64,2
20133,41,2
20134,57,2
20135,47,2
20136,29,1
20137,1046,5
20138,64,2
20139,1023,5
20140,62,2
20141,44,2
20142,51,2
20143,53,2
20144,41,2
20145,120,3
20146,184,4
20147,159,4
20148,74,3
20149,51,2
20150,48,2
20151,55,2
20152,50,2
20153,39,2
20154,180,4
20155,63,2
20156,44,2
20157,53,2
20158,49,2
20159,39,2
20160,46,2
20161,172,4
20162,151,4
20163,46,2
20164,76,3
20165,150,4
20166,46,2
20167,57,2
20168,72,3
20169,713,5
20170,59,2
20171,52,2
20172,64,2
20173,47,2
20174,45,2
20175,52,2
20176,67,2
20177,44,2
20178,121,3
20179,147,3
20180,54,2
20181,38,2
20182,38,2
20183,52,2
20184,168,4
20185,238,5
20186,183,4
20187,45,2
20188,34,2
20189,47,2
20190,49,2
20191,61,2
20192,42,2
20193,48,2
20194,183,4
20195,38,2
20196,52,2
20197,37,2
20198,45,2
20199,159,4
20200,39,2
20201,47,2
20202,68,2
20203,48,2
20204,51,2
20205,41,2
20206,1035,5
20207,60,2
20208,60,2
20209,242,5
20210,53,2
20211,43,2
20212,52,2
20213,42,2
20214,167,4
20215,57,2
20216,57,2
20217,43,2
20218,58,2
20219,55,2
20220,41,2
20221,57,2
20222,47,2
20223,49,2
20224,66,2
20225,153,4
20226,54,2
20227,51,2
20228,1021,5
20229,64,2
20230,62,2
20231,50,2
20232,168,4
20233,165,4
20234,62,2
20235,52,2
20236,164,4
20237,70,3
20238,41,2
20239,685,5
20240,62,2
20241,130,3
20242,186,4
20243,72,3
20244,181,4
20245,45,2
20246,59,2
20247,56,2
20248,46,2
20249,49,2
20250,39,2
20251,51,2
20252,57,2
20253,40,2
20254,62,2
20255,45,2
20256,62,2
20257,56,2
20258,185,4
20259,68,2
20260,46,2
20261,49,2
20262,40,2
20263,29,1
20264,167,4
20265,62,2
20266,46,2
20267,59,2
20268,33,2
20269,56,2
20270,55,2
20271,51,2
20272,51,2
20273,49,2
20274,57,2
20275,42,2
20276,57,2
20277,35,2
20278,812,5
20279,33,2
20280,198,5
20281,179,4
20282,70,3
20283,49,2
20284,49,2
20285,58,2
20286,27,1
20287,105,3
20288,64,2
20289,39,2
20290,39,2
20291,52,2
20292,49,2
20293,75,3
20294,46,2
20295,43,2
20296,51,2
20297,38,2
20298,40,2
20299,58,2
20300,60,2
20301,37,2
20302,46,2
20303,33,2
20304,65,2
20305,59,2
20306,168,4
20307,1040,5
20308,45,2
20309,46,2
20310,160,4
20311,59,2
20312,45,2
20313,70,3
20314,42,2
20315,58,2
20316,46,2
20317,249,5
20318,1015,5
20319,65,2
20320,51,2
20321,45,2
20322,63,2
20323,41,2
20324,45,2
20325,37,2
20326,44,2
20327,53,2
20328,62,2
20329,41,2
20330,41,2
20331,57,2
20332,67,2
20333,56,2
20334,1018,5
20335,64,2
20336,305,5
20337,54,2
20338,64,2
20339,36,2
20340,109,3
20341,42,2
20342,39,2
20343,62,2
20344,49,2
20345,37,2
20346,60,2
20347,54,2
20348,60,2
20349,42,2
20350,53,2
20351,39,2
20352,160,4
20353,181,4
20354,51,2
20355,56,2
20356,31,1
20357,52,2
20358,56,2
20359,48,2
20360,177,4
20361,28,1
20362,44,2
20363,41,2
20364,25,1
20365,53,2
20366,67,2
20367,46,2
20368,61,2
20369,64,2
20370,41,2
20371,51,2
20372,52,2
20373,54,2
20374,34,2
20375,75,3
20376,178,4
20377,168,4
20378,165,4
20379,57,2
20380,67,2
20381,70,3
20382,47,2
20383,38,2
20384,63,2
20385,63,2
20386,62,2
20387,62,2
20388,166,4
20389,184,4
20390,64,2
20391,32,1
20392,63,2
20393,155,4
20394,39,2
20395,163,4
20396,75,3
20397,42,2
20398,50,2
20399,62,2
20400,46,2
20401,63,2
20402,54,2
20403,41,2
20404,176,4
20405,40,2
20406,50,2
20407,40,2
20408,1035,5
20409,64,2
20410,36,2
20411,1023,5
20412,64,2
20413,59,2
20414,28,1
20415,40,2
20416,43,2
20417,1035,5
20418,29,1
20419,58,2
20420,160,4
20421,50,2
20422,50,2
20423,48,2
20424,116,3
20425,46,2
20426,54,2
20427,27,1
20428,70,3
20429,64,2
20430,47,2
20431,1039,5
20432,73,3
20433,47,2
20434,66,2
20435,44,2
20436,48,2
20437,43,2
20438,28,1
20439,157,4
20440,29,1
20441,45,2
20442,43,2
20443,716,5
20444,52,2
20445,34,2
20446,45,2
20447,160,4
20448,53,2
20449,59,2
20450,60,2
20451,44,2
20452,42,2
20453,49,2
20454,66,2
20455,58,2
20456,183,4
20457,48,2
20458,63,2
20459,34,2
20460,826,5
20461,51,2
20462,172,4
20463,165,4
20464,1018,5
20465,68,2
20466,38,2
20467,61,2
20468,67,2
20469,38,2
20470,54,2
20471,128,3
20472,42,2
20473,62,2
20474,168,4
20475,37,2
20476,41,2
20477,57,2
20478,42,2
20479,40,2
20480,181,4
20481,66,2
20482,37,2
20483,55,2
20484,39,2
20485,52,2
20486,55,2
20487,41,2
20488,1034,5
20489,56,2
20490,36,2
20491,46,2
20492,174,4
20493,64,2
20494,45,2
20495,43,2
20496,53,2
20497,53,2
20498,59,2
20499,37,2
20500,172,4
20501,56,2
20502,38,2
20503,277,5
20504,52,2
20505,128,3
20506,36,2
20507,56,2
20508,47,2
20509,169,4
20510,180,4
20511,114,3
20512,32,1
20513,60,2
20514,59,2
20515,178,4
20516,32,1
20517,29,1
20518,54,2
20519,46,2
20520,43,2
20521,125,3
20522,60,2
20523,29,1
20524,62,2
20525,46,2
20526,34,2
20527,44,2
20528,34,2
20529,61,2
20530,182,4
20531,53,2
20532,66,2
20533,162,4
20534,64,2
20535,45,2
20536,59,2
20537,50,2
20538,66,2
20539,238,5
20540,51,2
20541,41,2
20542,66,2
20543,44,2
20544,185,4
20545,829,5
20546,51,2
20547,77,3
20548,61,2
20549,38,2
20550,41,2
20551,157,4
20552,62,2
20553,53,2
20554,43,2
20555,40,2
20556,45,2
20557,262,5
20558,62,2
20559,40,2
20560,175,4
20561,38,2
20562,55,2
20563,41,2
20564,66,2
20565,49,2
20566,48,2
20567,65,2
20568,86,3
20569,146,3
20570,160,4
20571,40,2
20572,41,2
20573,110,3
20574,186,4
20575,66,2
20576,66,2
20577,65,2
20578,162,4
20579,49,2
