uid,n_null,discret_null
1792,44,2
4211,156,4
14658,175,4
17041,165,4
15765,45,2
6638,53,2
1649,45,2
5709,178,4
4749,41,2
7702,59,2
7456,52,2
4356,44,2
15094,157,4
16423,42,2
11970,160,4
13011,181,4
16849,174,4
9058,61,2
14323,41,2
5819,158,4
3595,51,2
14420,48,2
18082,177,4
8906,168,4
16752,175,4
14053,59,2
18994,162,4
12846,51,2
1495,41,2
5063,46,2
19456,34,2
4340,64,2
19146,54,2
10021,63,2
12994,171,4
18933,50,2
19739,165,4
18329,43,2
18724,40,2
10547,56,2
6338,60,2
8457,173,4
858,163,4
2580,49,2
1533,45,2
1565,45,2
11623,45,2
10857,62,2
9691,62,2
18520,159,4
17390,27,1
15930,176,4
6418,43,2
8485,46,2
7407,62,2
17837,36,2
18572,164,4
12310,55,2
2752,30,1
5068,38,2
5952,53,2
8147,56,2
5510,183,4
12481,162,4
455,162,4
6550,159,4
12289,48,2
8356,64,2
11317,177,4
10586,39,2
19239,40,2
16891,157,4
5071,46,2
1513,59,2
8852,178,4
31,58,2
6691,160,4
7452,56,2
9654,50,2
12010,155,4
9731,158,4
10938,48,2
13004,48,2
18726,73,3
7996,41,2
16360,65,2
10620,51,2
8776,48,2
19538,38,2
16652,108,3
10913,45,2
15901,155,4
10891,51,2
19770,60,2
15515,36,2
15757,30,1
2387,173,4
7761,56,2
13111,174,4
14062,40,2
5036,57,2
2663,162,4
7935,68,2
5630,169,4
14950,21,1
16032,168,4
16216,63,2
13931,174,4
14558,64,2
6397,45,2
15271,48,2
5488,45,2
6757,47,2
13607,42,2
18701,46,2
18733,47,2
14038,43,2
16711,36,2
14277,24,1
15000,46,2
241,155,4
1051,56,2
3241,42,2
13721,164,4
8359,42,2
15836,56,2
16195,62,2
10145,180,4
9591,34,2
1530,45,2
18882,48,2
19924,43,2
18696,44,2
14232,54,2
1514,170,4
13743,33,2
5821,60,2
18835,174,4
4376,63,2
19088,39,2
8590,47,2
4673,44,2
9607,45,2
8572,37,2
848,44,2
11470,54,2
18378,60,2
19668,38,2
9768,152,4
17572,178,4
12040,48,2
18588,55,2
9032,39,2
2561,147,3
3896,35,2
19572,35,2
2990,40,2
13708,47,2
11665,45,2
11582,53,2
2782,164,4
13169,171,4
6537,166,4
10741,51,2
19407,158,4
1605,165,4
10493,43,2
7885,45,2
15088,31,1
19477,46,2
15914,59,2
11259,31,1
1361,49,2
3722,57,2
16285,37,2
9831,44,2
11081,53,2
14580,50,2
8056,50,2
18402,59,2
6304,27,1
17065,35,2
4988,172,4
2028,30,1
18090,61,2
15769,157,4
18252,46,2
13358,45,2
4594,154,4
3505,51,2
9270,175,4
5914,159,4
15670,152,4
7941,57,2
13714,163,4
1211,161,4
17220,39,2
17273,69,2
8555,181,4
11256,44,2
10832,64,2
13467,52,2
15994,48,2
1280,38,2
9173,57,2
3559,58,2
10441,59,2
11885,176,4
916,46,2
5122,47,2
17178,45,2
3069,165,4
1748,184,4
15322,50,2
5849,175,4
4422,37,2
7037,159,4
2035,171,4
12628,59,2
1135,166,4
4135,50,2
12967,53,2
8479,169,4
6337,51,2
2483,46,2
3592,38,2
10646,40,2
2313,48,2
15667,50,2
5087,38,2
16552,40,2
3695,53,2
15866,159,4
19544,161,4
17520,17,1
18127,158,4
1499,43,2
16952,49,2
2677,47,2
9997,152,4
7724,54,2
6854,166,4
5150,47,2
12596,163,4
15889,52,2
19507,42,2
12311,54,2
16405,62,2
17565,165,4
6609,171,4
2568,52,2
7705,55,2
11719,57,2
11998,34,2
2007,41,2
7595,57,2
12318,47,2
685,34,2
12614,65,2
4698,49,2
9902,53,2
13009,45,2
17267,160,4
81,54,2
6113,47,2
17000,57,2
4492,37,2
19079,161,4
1969,162,4
97,173,4
2981,67,2
12210,49,2
378,46,2
159,56,2
19751,64,2
2463,59,2
4312,43,2
5155,171,4
8439,40,2
19887,164,4
3831,153,4
11249,210,5
8431,52,2
10596,58,2
18036,37,2
5586,56,2
17947,157,4
4245,157,4
2459,48,2
9847,56,2
15236,108,3
10610,46,2
18447,152,4
12739,181,4
1441,160,4
14130,173,4
17478,53,2
5292,177,4
3578,34,2
16649,42,2
17435,59,2
1510,38,2
8556,43,2
13148,47,2
6118,62,2
12297,43,2
1159,52,2
1981,25,1
7120,57,2
17774,164,4
3021,49,2
17743,63,2
17392,59,2
13611,43,2
11629,64,2
6422,174,4
2000,44,2
8663,27,1
14870,62,2
17154,55,2
9615,164,4
1475,36,2
2654,152,4
14415,44,2
2957,38,2
1279,171,4
10932,166,4
10829,158,4
14806,50,2
1526,47,2
2520,167,4
2570,43,2
18918,56,2
19423,65,2
9098,43,2
6599,51,2
200,40,2
14016,167,4
11012,163,4
3701,160,4
4812,40,2
3063,167,4
15665,67,2
13814,158,4
17366,49,2
3059,51,2
12219,54,2
7823,46,2
1192,49,2
