"uid","y"
1792,1
4211,1
14658,1
17041,1
15765,1
6638,1
1649,1
5709,1
4749,0
7702,1
7456,1
4356,1
15094,1
16423,1
11970,1
13011,1
16849,1
9058,1
14323,1
5819,1
3595,1
14420,1
18082,1
8906,1
16752,1
14053,1
18994,1
12846,1
1495,1
5063,1
19456,1
4340,1
19146,0
10021,1
12994,1
18933,1
19739,0
18329,1
18724,1
10547,1
6338,1
8457,1
858,1
2580,0
1533,1
1565,0
11623,1
10857,1
9691,1
18520,1
17390,1
15930,1
6418,1
8485,0
7407,1
17837,1
18572,1
12310,1
2752,1
5068,1
5952,1
8147,1
5510,1
12481,1
455,1
6550,1
12289,1
8356,1
11317,1
10586,1
19239,1
16891,0
5071,1
1513,1
8852,1
31,1
6691,1
7452,1
9654,0
12010,1
9731,1
10938,1
13004,1
18726,1
7996,0
16360,1
10620,1
8776,1
19538,1
16652,1
10913,1
15901,1
10891,1
19770,1
15515,1
15757,1
2387,1
7761,0
13111,1
14062,1
5036,1
2663,0
7935,1
5630,1
14950,1
16032,1
16216,1
13931,1
14558,1
6397,1
15271,0
5488,1
6757,1
13607,0
18701,0
18733,1
14038,0
16711,1
14277,1
15000,1
241,1
1051,1
3241,1
13721,1
8359,1
15836,1
16195,1
10145,1
9591,1
1530,1
18882,1
19924,1
18696,0
14232,0
1514,1
13743,1
5821,0
18835,1
4376,0
19088,0
8590,1
4673,1
9607,1
8572,0
848,0
11470,1
18378,1
19668,1
9768,1
17572,1
12040,1
18588,1
9032,1
2561,1
3896,1
19572,0
2990,1
13708,1
11665,1
11582,1
2782,1
13169,1
6537,1
10741,1
19407,1
1605,1
10493,0
7885,1
15088,1
19477,1
15914,1
11259,1
1361,1
3722,1
16285,1
9831,1
11081,1
14580,1
8056,1
18402,1
6304,1
17065,1
4988,1
2028,1
18090,1
15769,1
18252,1
13358,1
4594,1
3505,1
9270,1
5914,1
15670,1
7941,1
13714,1
1211,1
17220,1
17273,0
8555,1
11256,1
10832,1
13467,1
15994,1
1280,1
9173,1
3559,0
10441,0
11885,1
916,1
5122,1
17178,1
3069,1
1748,1
15322,1
5849,1
4422,1
7037,0
2035,1
12628,1
1135,1
4135,1
12967,1
8479,1
6337,1
2483,1
3592,1
10646,1
2313,1
15667,1
5087,1
16552,1
3695,1
15866,0
19544,1
17520,1
18127,1
1499,1
16952,1
2677,1
9997,1
7724,1
6854,0
5150,1
12596,1
15889,1
19507,1
12311,0
16405,1
17565,1
6609,1
2568,1
7705,1
11719,1
11998,1
2007,1
7595,1
12318,0
685,1
12614,1
4698,1
9902,1
13009,1
17267,0
81,1
6113,1
17000,1
4492,1
19079,1
1969,1
97,1
2981,1
12210,1
378,1
159,1
19751,1
2463,1
4312,0
5155,1
8439,1
19887,1
3831,1
11249,1
8431,1
10596,1
18036,1
5586,1
17947,1
4245,1
2459,1
9847,1
15236,1
10610,1
18447,1
12739,1
1441,1
14130,1
17478,1
5292,1
3578,1
16649,1
17435,1
1510,0
8556,0
13148,1
6118,1
12297,1
1159,1
1981,1
7120,1
17774,1
3021,1
17743,1
17392,1
13611,1
11629,0
6422,1
2000,1
8663,1
14870,1
17154,1
9615,1
1475,1
2654,1
14415,1
2957,1
1279,1
10932,1
10829,1
14806,1
1526,1
2520,1
2570,1
18918,1
19423,1
9098,1
6599,1
200,1
14016,1
11012,1
3701,1
4812,1
3063,1
15665,1
13814,1
17366,1
3059,0
12219,1
7823,1
1192,1
12423,1
7287,1
17369,1
1551,0
13211,1
3119,1
16838,1
205,1
13458,1
16226,1
6127,1
1622,1
3092,1
5310,1
11617,1
12272,1
16210,1
7990,0
1918,1
16861,1
8695,1
9027,1
7376,1
16836,1
8386,0
16680,1
14917,1
7484,1
10522,1
16493,1
19628,1
4765,1
17562,1
16075,1
9907,1
17480,1
13976,1
15058,1
10703,1
6303,1
454,1
17517,1
197,1
8280,1
19798,0
2822,1
11523,1
11889,1
820,1
6194,1
5768,1
12066,1
7259,1
16731,1
9330,1
9748,0
6262,1
6720,1
18619,1
9165,1
1080,1
2778,1
14872,1
5585,0
9865,0
10802,1
15705,1
10529,1
5144,1
14586,1
8516,1
17286,1
6109,1
14605,0
18176,1
14832,1
2516,1
5694,1
703,1
9824,1
12865,1
17927,1
5455,1
16202,1
6967,1
13279,1
14845,1
10739,1
4468,1
15601,1
269,1
814,1
14632,0
17967,1
6423,1
6549,1
3461,1
3445,1
14015,1
5921,1
18431,0
14191,1
8564,1
13732,1
10329,1
1333,1
18674,1
17835,1
17068,1
14629,1
19949,1
18589,1
16370,1
4851,1
537,1
15882,1
4146,0
10405,1
8031,1
8403,1
6,0
14543,0
5278,1
4379,1
9166,1
14297,1
19105,1
19140,1
16387,1
2453,1
15776,1
18893,0
14280,1
3833,0
13240,1
2831,1
7623,0
15233,1
16127,1
3840,1
382,1
647,1
8017,1
16443,1
12005,1
12929,1
7767,1
2983,0
2821,0
14713,1
847,1
7826,1
3928,1
10304,1
13789,0
11673,1
17813,1
2136,1
3126,1
9291,1
1327,0
6978,1
4846,1
1935,1
8661,1
8080,1
19574,1
6420,1
6403,1
12436,1
2141,1
16770,1
7441,1
5597,1
12875,0
12986,1
18928,1
18577,1
257,1
15870,1
14869,1
8960,0
11774,1
3141,1
6006,1
18599,1
2855,1
11686,1
6365,1
15455,1
14677,1
168,1
17487,0
10903,0
12155,1
554,1
17332,1
18501,1
14971,1
13442,1
19355,1
8870,0
18264,1
15591,1
4437,1
9469,1
12798,1
2478,1
18651,1
9869,1
10172,1
15614,1
14127,1
9781,1
8501,1
18664,1
5567,1
19931,1
4702,0
19365,1
6957,0
5476,1
8262,1
4565,1
20000,1
9154,1
13192,1
3033,1
18526,1
4803,1
15319,1
3292,1
15877,1
14497,1
16374,1
15437,1
16356,1
11031,1
17099,1
4177,1
11950,1
12295,1
19658,1
9168,1
2024,0
3900,0
2566,1
19431,1
18492,1
17315,1
3255,1
2508,1
17779,1
12696,1
18847,1
4780,1
16014,1
19069,1
8199,1
7513,1
16301,1
11560,1
18593,1
2702,1
17876,1
1766,1
6038,1
17509,1
16299,1
8324,1
7505,1
7783,1
8985,1
15633,1
18469,1
10722,1
16981,1
13050,1
15464,1
13237,1
17888,1
12514,1
12663,1
16079,1
4150,1
10728,1
15427,1
14944,1
7399,1
18669,1
10104,1
9299,1
14974,1
7136,1
4152,0
14184,1
18080,1
7746,1
19601,1
17470,1
11561,1
10862,1
11109,1
4469,1
17459,1
10336,1
17632,1
13748,1
666,1
12056,1
3009,1
16774,0
15106,1
7548,1
7800,1
17027,0
4308,1
4480,1
17060,1
19015,1
13827,1
3494,1
11585,0
18903,1
1753,1
12227,1
2408,1
2300,1
19187,1
7228,1
11094,1
8867,1
6380,1
6772,1
9204,1
5076,1
19120,1
17857,1
14304,1
1445,1
12092,1
8335,1
2798,1
10672,0
611,1
4103,1
11794,1
11887,1
7600,1
10837,1
14194,1
18259,1
391,1
10448,1
12552,1
19641,0
15940,1
17609,1
16049,1
17903,1
1887,1
12669,1
11164,1
14626,1
17715,1
15727,1
6334,1
15386,1
7027,1
12296,1
1740,0
15272,1
12095,1
15821,1
12243,1
4855,1
16611,1
15315,1
2678,1
14855,1
16865,0
3880,1
2100,1
9762,1
17540,1
19638,1
3198,1
4959,1
18719,0
2284,0
12172,1
11655,1
1585,1
776,1
6426,0
15064,1
9288,1
18811,1
7477,1
8350,0
9227,1
8163,0
2657,1
16399,1
5471,1
6014,1
16655,1
11500,1
17229,1
13284,0
1313,1
1977,1
17529,1
18200,1
10193,1
7185,1
1028,0
1756,1
13245,0
11955,1
10774,1
7510,1
13418,1
19756,1
6090,1
14187,1
19774,1
8535,1
10689,1
2871,1
14255,1
19789,1
11747,1
4005,1
9608,1
12756,1
3637,0
2207,0
192,1
17959,0
16994,1
9417,1
6041,1
3684,1
13341,1
13307,1
11530,1
9939,1
1873,1
1130,1
13293,1
19998,1
16378,1
6494,1
7759,1
9357,1
1442,1
3509,1
3518,1
9593,1
15458,1
17635,1
3950,1
15209,1
19828,1
16305,1
10959,1
18222,1
10679,1
15874,1
2791,0
1444,1
2107,0
18309,1
4999,1
18282,1
11295,1
7711,1
11956,1
19056,1
7356,1
11314,1
921,1
12673,1
18494,1
19880,1
15913,1
3236,1
3546,1
4726,1
2155,1
6471,1
13268,0
5021,1
15586,1
10194,1
6222,1
7487,1
11746,1
15653,1
7614,1
10631,1
13078,1
4490,1
7933,1
12350,1
10397,1
15006,1
2432,1
2929,1
11761,1
12888,1
10528,0
16977,1
2016,1
16181,1
4180,1
17792,1
659,1
15502,1
1320,1
13411,1
3465,1
8297,1
19956,1
10088,1
5799,1
9639,1
14431,0
9492,1
8827,1
18528,1
10778,1
13713,1
7072,1
12527,1
10937,1
6112,1
18460,1
10504,1
4484,1
17416,0
15399,1
17708,1
18021,1
10317,1
17453,1
6954,1
6239,1
16103,1
16229,1
5245,1
3810,1
16289,1
11496,1
11278,1
15906,1
3968,1
499,1
8410,0
11974,1
12880,1
11927,1
13129,1
16024,1
8570,1
619,1
13488,0
641,1
10177,1
10609,1
15411,1
8953,1
19054,0
7145,1
17308,1
6776,1
4710,1
13294,1
4920,1
7165,1
8277,0
14775,1
19373,1
1203,1
18959,1
18587,1
18868,1
15370,1
1560,1
4853,1
2304,1
15918,1
11811,1
15693,1
2712,1
13921,1
8882,1
6234,1
13349,1
11004,1
17928,1
8991,1
12975,0
19283,1
3064,1
14790,1
2714,1
6409,1
18748,1
12557,1
16914,1
6932,1
14135,0
5901,1
165,1
10063,1
12248,1
3046,1
3507,1
18676,1
19244,1
13105,1
14981,1
9524,1
10565,1
2704,0
8419,1
11361,1
7275,0
4501,1
3931,1
8756,1
2572,1
9459,0
5356,0
7840,1
13740,1
12534,0
8279,1
15249,1
8683,1
13777,0
18275,1
12446,0
10462,1
9220,1
5590,1
7581,1
7272,1
2358,1
10598,1
8065,1
6674,1
12220,1
5452,1
3901,1
17054,1
11977,1
2118,0
2783,1
2228,1
9323,1
4079,1
4051,1
11132,1
7796,1
674,1
13974,1
14374,1
279,1
9294,1
18436,1
2935,1
10461,1
5539,1
16575,1
5906,0
17062,1
18261,1
5738,0
16674,1
11605,1
2936,1
13867,1
39,1
11612,1
12055,0
16421,1
1621,1
11100,1
16713,1
15721,1
16483,1
6012,1
3909,1
17050,1
12494,1
7103,1
19625,1
1371,1
15842,1
5258,1
11023,1
16931,1
17719,1
18311,1
13651,1
11681,1
591,1
18201,1
13544,1
10094,1
13506,1
3681,1
9069,1
1167,1
10100,1
6633,0
5758,1
19877,1
7765,1
14975,1
16365,1
19926,1
2293,1
239,1
13127,1
8728,1
1247,1
10212,1
10602,0
6404,1
16171,1
18750,1
8735,1
10879,1
3819,1
5062,0
7793,1
9965,1
13854,1
17034,1
19532,1
15176,1
9107,1
10333,1
1861,1
13872,1
19235,1
9633,1
17953,1
62,1
11512,1
18271,1
16570,1
15235,1
19115,1
5786,1
19228,1
11476,1
8904,1
17851,1
207,1
9925,1
7434,1
19930,0
16585,1
12293,0
15885,0
16464,1
10406,0
610,1
4753,1
15256,1
14555,1
2638,0
17348,0
16868,1
13520,1
14507,1
9830,1
18508,1
19160,1
2741,1
6584,1
15009,1
3076,1
18614,0
480,1
2623,1
2733,0
11713,1
6201,1
13133,0
17290,1
7804,1
12700,1
7733,0
12949,1
10686,1
3454,1
19680,1
5520,0
17902,1
11800,1
1281,1
13403,1
3873,1
6141,1
4635,1
14933,1
13962,1
11055,1
7253,1
8696,1
1304,1
4578,1
7907,1
3386,0
5851,1
7986,1
1477,1
1870,1
18999,1
14283,1
9943,1
16789,1
16037,1
15778,1
13546,1
7387,1
14589,1
18905,1
9232,1
14067,1
16846,1
15752,1
13451,1
15536,1
16087,1
18228,1
10070,0
18398,1
3729,1
13003,1
13530,1
10906,1
19804,1
19232,1
6407,1
8372,1
4294,1
19277,1
19879,1
3323,0
14680,1
4954,1
4041,0
16302,1
5732,1
7367,1
7617,1
5123,1
19218,1
18766,0
2181,1
12145,1
9122,1
1556,1
6563,1
16097,1
7404,1
1328,1
12384,1
9650,1
6427,1
8520,1
7244,1
14740,1
12335,1
14634,1
2135,1
3599,1
19035,1
18011,1
16933,1
6089,1
7671,1
7237,1
2788,1
29,1
1368,1
5632,1
16886,1
2474,1
2227,1
17107,1
11181,0
9783,1
4835,0
7887,1
11186,1
5085,1
5420,1
9111,1
3018,1
14965,1
3966,1
5839,1
19755,1
500,0
18573,1
2157,1
16913,1
9851,1
19895,1
4085,1
18304,1
16549,1
1693,1
14195,1
2718,0
18925,1
1595,0
1023,0
13368,1
8110,1
7678,1
6610,1
3942,1
16344,1
2039,1
3516,1
15473,1
6735,1
4654,1
7057,1
6369,1
18147,1
14847,1
1217,1
7596,1
11701,1
17681,1
18722,1
14577,1
13130,1
10805,1
9187,1
6963,1
15976,1
19226,1
16012,1
8131,1
13942,1
6075,1
17543,1
14080,1
11938,1
5972,1
16635,1
6417,1
9030,1
10181,1
12029,1
17016,1
11411,1
14977,0
15229,1
17724,0
3771,0
5967,1
15133,1
12275,1
7026,1
8004,1
884,0
2709,1
18782,1
18374,1
14237,1
3116,1
12598,1
8907,1
4598,1
13588,1
11717,1
265,0
8658,0
11777,1
19162,1
9794,1
9405,1
11030,1
1170,1
4031,1
7825,1
15242,1
2475,1
16715,1
15425,1
10527,1
18466,1
17235,1
16129,1
19125,1
15084,1
11993,1
12565,1
11033,1
9695,1
13270,1
3932,1
15708,1
6874,1
16690,1
13859,1
13978,1
2062,1
17094,1
2398,1
3363,1
8639,1
18921,0
4777,1
3756,1
11427,1
2945,1
1928,1
19349,1
7366,1
6675,0
8799,1
16418,1
463,1
18197,1
3897,1
209,1
5164,1
18106,1
8381,1
15061,1
11796,1
3522,1
11070,1
13107,1
6205,1
7934,1
14753,0
18218,1
14957,1
11580,1
3862,1
12685,1
3450,1
12373,1
18485,1
9046,1
10546,1
14785,1
3129,1
1356,1
1262,1
10727,1
3996,1
15390,1
7819,1
19678,1
17414,1
8844,1
15429,0
6724,1
15612,1
10291,1
2811,1
12190,1
8018,1
11344,1
19677,1
6931,1
12791,1
9701,1
5418,1
16840,1
15811,1
17718,1
17320,1
12075,1
1920,1
6713,0
4748,1
11583,1
11946,1
7682,1
13655,1
11228,1
9638,1
15456,1
15160,1
8503,1
5697,0
5714,1
2689,1
12802,1
10984,1
7512,1
9535,1
10300,1
11405,1
8447,1
1063,1
17589,1
15909,1
17158,1
8401,1
2211,1
3258,1
6066,1
7816,1
4521,1
1822,1
19844,1
10079,1
8736,1
12741,1
10772,0
15364,1
19172,1
8629,1
11309,1
14398,1
14763,1
7685,1
9745,1
16246,1
5224,1
2618,1
1153,1
4805,1
12037,0
17720,1
3307,1
1338,1
13551,1
11982,1
4830,1
3954,1
10059,1
6209,1
9478,0
18662,1
16834,1
10822,1
4782,1
870,1
4678,1
15908,1
15549,1
15257,1
5096,1
517,1
17428,1
15679,0
14813,1
4958,1
11614,0
9118,1
14372,1
1716,1
1523,1
12231,1
4045,1
19475,1
18407,1
11802,1
11973,1
17841,0
4370,1
12035,1
1898,1
14924,1
19752,1
18169,1
11037,1
911,1
6856,1
6789,1
193,1
8831,1
15561,1
18196,1
3110,0
3992,1
1670,1
1336,1
6217,1
7378,1
4153,1
19340,0
2407,1
10374,1
19907,1
17717,1
8132,0
9533,0
7000,0
5078,1
6167,1
15086,1
16616,1
5706,0
16572,1
18221,1
19653,0
9592,1
272,1
9774,1
409,1
12688,1
6583,1
10016,1
9935,1
10922,1
14155,1
9251,1
9309,1
2138,1
13084,1
5973,1
1194,1
155,1
1494,1
13271,1
6949,1
6185,1
7140,0
2308,1
2277,1
16803,1
7104,1
8160,1
6449,1
4902,1
16261,1
7053,1
7341,1
8778,1
10274,1
18978,0
15004,1
12242,1
19600,1
17121,1
407,1
17344,0
491,1
10808,1
7397,0
7998,1
11358,1
8270,1
10683,1
11207,1
692,1
1616,1
12579,1
18712,1
17749,1
12583,1
10809,1
15991,1
8651,1
19092,1
5359,1
8142,1
8596,1
778,1
6220,1
15700,1
19446,1
7097,1
19605,1
19784,1
6037,1
18655,1
16736,1
17026,1
16907,1
10860,0
5515,1
10697,1
1810,1
11531,1
17031,1
4924,1
18996,1
16605,1
4307,1
4216,1
3719,1
17583,1
17550,1
15656,1
19046,1
235,1
16143,1
8812,1
10424,1
8355,1
61,1
3759,1
8640,1
4723,1
2255,1
190,1
15910,1
3136,1
10316,1
12518,0
18542,1
18230,1
15052,1
14707,1
10165,1
10067,1
19072,1
14096,1
18944,1
5165,1
4002,0
1223,1
5817,1
9326,1
18931,1
18417,1
16137,1
15417,1
16675,1
2803,1
6381,1
8971,1
1524,1
11991,1
18544,1
6505,1
10769,1
14103,1
13377,1
16225,1
24,1
18180,1
5189,1
17270,1
10907,1
758,1
5526,1
18303,1
18401,1
10435,1
7884,1
3010,1
3037,1
1553,1
1689,1
7415,1
7304,1
2728,1
8337,1
1774,1
19594,1
14311,1
1628,1
1469,1
19917,1
759,1
2699,1
194,1
17838,1
6719,1
338,1
16593,1
9130,1
11756,0
3279,1
16681,1
18667,1
14467,1
7592,1
7065,1
2080,1
10266,1
7459,1
12859,1
19923,1
2164,1
557,1
19671,1
14332,1
1644,1
6620,1
18389,1
19807,1
7130,1
891,0
13650,1
18177,1
7420,1
11552,1
902,1
7536,1
11997,1
1967,1
1406,1
15751,1
4458,1
11961,1
2128,1
9135,1
1506,1
13775,1
9721,1
3395,1
