QQ,Info
69,大家 好 我学 号 1710 PRML 太 晦涩 难懂 MLAPP 好多
1,管理员 已 禁止 群内 匿名 聊天 灰太狼 805633644   管理员 禁言 天
216,1759 深圳 姜 指教 python 做卡方 检验 不用 指定 期望值 多个 因素 分类 影响 哮喘 无 住房 朝向 东 南 西 北 数值 180 14 120 65 200 16 84 33 自由度 3R matrix 180 14 120 65 200 16 84 33 nc xchisp test correct TRUE R 里面 做 公式 算 python .......... 做 我试 多谢
0,jeverson 加入 本群 张永彬 加入 本群 .. 加入 本群 Dennis 加入 本群 Allen 加入 本群 张大 强 加入 本群 流云 远逝 加入 本群 Hare 加入 本群 杨沛 加入 本群 海纳百川 加入 本群 小鱼 加入 本群 番茄 炒鸡蛋 加入 本群 嘟叫 兽 加入 本群 亮 加入 本群 卡罗 加入 本群 Loeng 加入 本群 天蝎 宫 XA 倩 加入 本群 問心 加入 本群 Hundred 加入 本群 吴天德 加入 本群 千門 公子 雲襄 加入 本群 Mr Z 加入 本群 LW 加入 本群 vivian 加入 本群 qinmo 加入 本群 allez 加入 本群 飞翔 加入 本群 用心看 世界 加入 本群 老斌 加入 本群 大禹 加入 本群 云 加入 本群 小鱼 VS 婷婷 加入 本群 加入 本群 XFun 加入 本群 风 悄语 加入 本群 EnglishVillage 加入 本群 277 王 坤造 撤回 一条 消息 夜空 加入 本群 逍遥 小章 加入 本群 咱家 猫 加入 本群 challenge 加入 本群 ← 我執 べ 加入 本群 Xinxin 加入 本群 yi2ha 加入 本群 小游 加入 本群 木 加入 本群 龙 江湖 加入 本群 vinking 加入 本群 曦 冉 加入 本群 我家 两头 牛 加入 本群 韦 悠悠 努力 学 技能 不废 加入 本群 慕士塔格 加入 本群 ┗ 江江江江 加入 本群 书逸 加入 本群 东方朔 加入 本群 乐乐 加入 本群 qqqqqqq 加入 本群 freelooper 加入 本群 Macro 加入 本群 文七 加入 本群 泛舟 湖上 加入 本群 不开森 加入 本群 danbaidong 加入 本群 欧式 岳岳 加入 本群 鋼 镚 琅琅 加入 本群 向前 加入 本群 孙晴晴 加入 本群 David   Ricardo 加入 本群 飞雪 落叶 加入 本群 大圣 归来 加入 本群 好人 加入 本群 sf 加入 本群 周飞 上海 m4 加入 本群 野 男孩 加入 本群 清泉 之音 加入 本群 曦 加入 本群 轻 加入 本群 charles 逸 加入 本群 梦想成真 加入 本群 小强 加入 本群 frozen 加入 本群 苍月 净羽 加入 本群 Sean 加入 本群 恬恬 老爸 加入 本群 老贼 加入 本群 向日葵 加入 本群 beibei 加入 本群 年年有余 加入 本群 陈观 钦 加入 本群 不谈 加入 本群 destiny 加入 本群 LIFE 加入 本群   Gorbirl   分享 文件   23 59 53 netflixICML pdf   下载 犇     politics free 加入 本群 T800 加入 本群 haha 加入 本群 Bhaal 加入 本群 恋雨 ∽ 银声 加入 本群   Gorbirl   分享 文件   00 04 31 nips01 discriminativegenerative pdf   下载 袁浩期 加入 本群   Gorbirl   分享 文件   00 18 10 Generative   Adversarial   Nets pdf   下载   Gorbirl   分享 文件   00 18 13 Generative   Adversarial   Text   to   Image   Synthesis pdf   下载 Holy Book 加入 本群 相濡以沫 加入 本群 矢 寸心 加入 本群 Lozmlve Rookie 加入 本群 白羊座 狒狒 加入 本群 xwyqq 加入 本群 Orange 加入 本群 微微 清疯 加入 本群 aug cc pv5z 加入 本群 編程 勿 擾 加入 本群 梦笛 加入 本群 Heart 加入 本群 Eric 加入 本群 Free ゞ Style 加入 本群 Polaris 年代 ��� ��� 加入 本群 0o0 加入 本群 氯化氢 加入 本群 lucky   number 加入 本群 不忘 初心 加入 本群 Xavi Charles 加入 本群 廖湘浩 撤回 一条 消息 叶健 加入 本群 GZ Tommy 加入 本群 NPC 加入 本群 wj 加入 本群 Mr Ryan 加入 本群 栏杆 拍遍 加入 本群 坚都 赤 加入 本群 〆 永不言败 加入 本群 小峰 加入 本群 顾平 加入 本群 水墨 青莲 加入 本群 Why   NoT   加入 本群 斌 仔 加入 本群 Y 加入 本群 性感 大胡子 加入 本群 夢想家 背包客 泰 加入 本群 依洛 加入 本群 人生 多情 关 风月 加入 本群 JustinLee 加入 本群 Almost   lover 加入 本群 liang 加入 本群 漫天 枫林 加入 本群 | 小心 加入 本群 luckymouse 加入 本群 ♂         加入 本群 跳跳 鱼 加入 本群 小 小雨 加入 本群 π   二次方 加入 本群 人生 况味 加入 本群   473 廖湘浩 长沙   分享 文件   16 06 41 机器 学习 数学分析 pdf   下载   473 廖湘浩 长沙   分享 文件   16 06 41 数理统计 参数估计 pdf   下载   473 廖湘浩 长沙   分享 文件   16 06 41 概率论 贝叶斯 先验 pdf   下载 855 清疯 广州 撤回 一条 消息 吾人 咏歌 独惭 康乐 撤回 一条 消息 223 武汉 Sven 撤回 一条 消息 风之巅 加入 本群 静风 加入 本群 简单 生活 加入 本群 倦游 何方 加入 本群 影子 加入 本群 辛者 为荣 加入 本群 傻子 才 会 悲伤 加入 本群 一枕 皇粮 加入 本群 rivvvvvv 加入 本群 ebo 加入 本群 北极星 眼泪 加入 本群 wwei 加入 本群 哈里 ★ 波特 丄 加入 本群 动物园 猪 加入 本群 梦想 起航 加入 本群 367324743 加入 本群 David 加入 本群   855 清疯 广州   分享 文件   16 37 05 pycharm edu 3.0 exe   下载   影子   分享 文件   16 41 35 数理统计 参数估计 pdf   下载   影子   分享 文件   16 41 41 概率论 贝叶斯 先验 pdf   下载   影子   分享 文件   16 41 45 机器 学习 数学分析 pdf   下载 凤三 加入 本群   855 清疯 广州   分享 文件   16 43 30 Anaconda3 4.1 Windows x86 64 exe   下载 SoSoFun 胜卓 加入 本群 Lois 加入 本群 SELECTED 加入 本群 Y 加入 本群 $ 兔巴哥 $ 加入 本群 采莲 南塘 秋 加入 本群 常常 微笑 烨 加入 本群 Simple 加入 本群 雨霁夜 初 梦 加入 本群 小马 子 加入 本群 悠游 加入 本群 鹰 加入 本群 萧恺佑 加入 本群 火 战车 加入 本群 1900 加入 本群 Challen 加入 本群 时光 加入 本群 ying 加入 本群 缺点 太 加入 本群 青 花椒 加入 本群 小葵 加入 本群 落叶 无痕 加入 本群 爱 饭团 苹果 加入 本群 pinG 加入 本群 墨瞳 加入 本群 peppermint 加入 本群 Edward   Chen 加入 本群 廖 廖 加入 本群 云水 飘 大哥大 在线 加入 本群 蓝色 魅影 加入 本群 ◇ S Η ip Ρ ǔ 加入 本群 ambition 加入 本群 王小鑫 加入 本群 Zhenglai 加入 本群 Ἀ ρ η ς 加入 本群 亮晶晶 加入 本群 Aloys 晨 加入 本群 枫 ¤ 加入 本群 RCJN 加入 本群 一叶知秋 加入 本群 杨哲铭 加入 本群 405620210 加入 本群 简简单单 加入 本群 Liuzx32 加入 本群 六月 心 情 加入 本群   沉睡不醒   分享 文件   19 12 02 Anaconda2 4.2 Windows x86 64 exe   下载 Single style 加入 本群 维 鎂式 加入 本群 陈佳 加入 本群 у а л 加入 本群 天色 常蓝 加入 本群 王昊然 加入 本群 爱 丶 加入 本群 搁浅 加入 本群 珊瑚 海枫 加入 本群 蚕蛹 加入 本群 一路 向东 の 葵 加入 本群 楚凡 加入 本群 LQ 加入 本群 风中 歌谣 加入 本群 一支 烟 加入 本群 sirian 加入 本群 天气 不错 噢 加入 本群 橋声 加入 本群 小 耗子 加入 本群 小泽 陛下 加入 本群 悬崖 凳子 加入 本群 justforfun 加入 本群 不爱 草原 野马 加入 本群 adccllb 加入 本群 ‎ 加入 本群 G Y 加入 本群 超越 加入 本群 feng 加入 本群 胡晓 加入 本群   146 胡 东东 北京   分享 文件   11 37 42 机器 学习 相关 包 zip   下载 好 小子 加入 本群 Brandon   Z 加入 本群 韩 韭 韭 加入 本群   612 xy 天津   分享 文件   11 50 24 MathType cn rar   下载 美丽 千寻 加入 本群 老蒋 加入 本群 Moses 撤回 一条 消息   Moses   分享 文件   14 20 42 高等数学 同济 第六版 pdf   下载 Moses 撤回 一条 消息 lemon 加入 本群 laozhao 加入 本群 Ginger 加入 本群 夜语 无声 加入 本群 ca01ei 加入 本群   大卫 贝利   分享 文件   15 57 02 正态分布 前世 今生 pdf   下载 bluecurve 加入 本群 冷酷 到底 加入 本群 我心 飞翔 加入 本群 Iwakind 加入 本群 土豆 加入 本群 快乐 漂 漂人 加入 本群 king 加入 本群 青蔥 凱歌 加入 本群 一起 成长 加入 本群 繁花 落盡 丶 誰 爲 誰 傾心 加入 本群 861 李跃奎 南京 撤回 一条 消息 奋斗 加入 本群 ★ 天 蓬元帅 加入 本群 天道酬勤 加入 本群 Yinini 加入 本群 课本 加入 本群 平生 翠微 加入 本群 橡胶 竹子 加入 本群 111 逗比 东北 加入 本群 全力以赴 加入 本群 潘齐 加入 本群 I     Believe 加入 本群 472 先森 Z 广州 撤回 一条 消息 撤回 一条 消息 Wang 加入 本群 阳光 里 温度 加入 本群 First lei 加入 本群 smile 加入 本群   409 武汉 刘小二   分享 文件   12 10 24 PRML 读书会 合集 打印 版 pdf   下载 鹿 抬头 加入 本群 华尔兹 彼岸 加入 本群 教 乖 加入 本群 泽 加入 本群 刘宇翔 加入 本群 水 春愁 加入 本群 朱敏 加入 本群 Su600 蘇 加入 本群 勇往直前 加入 本群 蓼 蓼 加入 本群 knlman 加入 本群 Dream 加入 本群 Tyx 加入 本群 乞丐 求 面包 加入 本群   255 陈令刚   分享 文件   17 25 51 机器 学习 周志华 pdf   下载 斯语 加入 本群 湖心 小笨酸 加入 本群 逍 无尘 加入 本群 Sean 加入 本群 啊哈 加入 本群 1022 逗比 东北 杭州 撤回 一条 消息 373858056 加入 本群 730 静雅 广州 撤回 一条 消息 萝卜青菜 加入 本群 1022 逗比 东北 杭州 撤回 一条 消息 544 Joe 撤回 一条 消息   601 曹振翔 北京   分享 文件   10 56 59 生育 模型 py   下载 Vicky   Hu 加入 本群 养心 阁 加入 本群 棕太狼 加入 本群 大鹏 加入 本群 William 加入 本群 猿人 加入 本群 cfc 加入 本群 Sirius 加入 本群 张建荣 加入 本群 37 度 心态 加入 本群 一輝 加入 本群 louis2005 加入 本群 680 佟 振国 北京 撤回 一条 消息 Lucy 加入 本群 edda 加入 本群 IM 加入 本群 houndoom 加入 本群   406 Gorbirl 佛山   分享 文件   16 46 49 Machine Learning Yearning V0 01 pdf   下载 道骨仙风 加入 本群   349 coding 西安   分享 文件   19 10 19 python 2.7 12 msi   下载 陈 英杰 加入 本群   477 子旭 上海   分享 文件   16 28 40 __ init __. py   下载 穆晨 加入 本群 风王 加入 本群 来自 火星 加入 本群 浮云 游子 加入 本群 江西 东道 加入 本群 Embrace   my   dream 加入 本群 ��� ��� ➕ ��� ��� ��� ��� 加入 本群   349 coding 西安   分享 文件   10 50 41 R 语言 实战 R   In   Action 2013 pdf   下载   349 coding 西安   分享 文件   10 52 50 R 语言 基础 包 函数 中英文 对照 参考 R2 41 pdf   下载 桐桐 加入 本群 小强 加入 本群 灰太狼   群主   2.13 2.22 直播 值班   禁言 天 909 王雨 撤回 一条 消息 枫狂 D 仁 加入 本群 605     摩西 撤回 一条 消息 Gordon 加入 本群 scream 加入 本群 灬 嗼 凘 萪 莈 洧 眼 汨 丶 加入 本群 来自 火星 撤回 一条 消息 郁闷 红春豹 加入 本群 1022 逗比 东北 杭州 撤回 一条 消息 1022 逗比 东北 杭州 撤回 一条 消息 小 葫芦 爸爸 加入 本群 菜鸡 就要 做题 加入 本群 心在 唱歌 加入 本群 2.20 直播 值班 邀请 小 象 招聘 加入 本群   378 鲍瑞琪 南京   分享 文件   16 09 46 protobuf 3.2 py27 tar bz2   下载
126,学号 微信名 单独 发 好 官网 到时候 班主任 会发 地址 群 公告 http www chinahadoop cn classroom 32 introduction 前 几节 数学 基础课 大家 基础 看看 是否 需要 购买 数学 概率 统计 基础课 小象 学院 微信 公众 号     99 元 火爆 拼团 数学 链接           去 找 找 https wxe9c061d2aed9ae09 91pintuan com commodity 57ddfb782ffb48989645596a 微信 小拼 团 团购 成功 后 对应 官网 课 http www chinahadoop cn classroom 17 courses 不是 老 学员 看着 名字 好 熟悉 新人 班主任 正在 上传 完成 后 群里发 公告 通知 大家 课程 顺延 http www chinahadoop cn page 24 课表 里 允许 发与 学习 无关 东西 直接 留言 今天 晚上 第二次 课 回放 love chinahadoop cn 火爆 拼团 数学 https wxe9c061d2aed9ae09 91pintuan com commodity 586867201d3e7f75c9ce4521 数学 拼团 微信 会 剪辑     内容     时间 可能 会 长短     课 前 等待时间 课间休息 会 剪掉 现在 聊天 窗口 浮动 技术 一三五 加下 直播 问题 群 我加 QQ 拉 深度 学习 第三期 拼团 链接 https wxe9c061d2aed9ae09 91pintuan com group 58a6b9dde0c511617e0d799c 全体 老 学员 转发 优惠 规则 转发 深度 学习 第三期 朋友圈 转发 次 每天 只 计数 次 限制 分组 范围 无效 小号 转发 无效 参团 补款 后 汇总 次 截图 小象 运营 shabao2333 退费 100 元 仅限于 报名 参团 深度 学习 第三期 学员 最后 一次 转发 截止 时间 2017 号 上午 10 注意 转发 朋友圈 请配 文字 深度 学习 第三期 实例 物体 分类 特征提取 实例 识别 人脸识别 动物 识别 实例 LSTM 用于 标题 生成 实例 上下文 回答 问题 实例 自动 驾驶 实时 目标 检测 实例 艺术风格 转化 实例 机器 生成 以假乱真 示意图 直播 右上角 进下 问题 直播 群 技术 测 老师 端网络 厉害 公众 号 没放 出来 嗖 嗒
6,195   学 号 微 信号   ljw 58729219940320
371,Hello   everyone   I     newbie 当然 登陆 小象 课程 页面 部分 功能
256,牛 逼 邹 老师   谢谢 同学 进去 报名 截图 已经 发给 挖掘机 四号 没有 上课 地址 刚才 那节 课 微信 群里     期待 老师 机器 学习 课程 现在 貌似 Anaconda 个人 觉得 pythonxy   工具包 挺 好 呵呵 昨天 大家 聊天 产品 语言 发表 理解 python scala 产品 中 其实 产品 维度 来看 机器 学习 spark 不是 全部 中间 组建 特别 利用 spark 平台 python   开发 出来 app   执行 效率 不高 out 同样 scala python scala 函数 式 编程 这种 特性 确实 比较 适用 数据分析 机器 学习 JVM 性能 现在 c++ 没有 差太多 老师 之前 两个 版本 额 机器 学习 课程 会 直播间 博 直播间 好 热闹 现在 morning   everybody hi   moses       yarn   表示 下载 咳咳 实不相瞒 master 刚刚 取得 网名 没想到 火 快 柯洁 几次 下棋 放水 非要 面子 干嘛 这是 今天 微博上 看到 情况   看不见 好 早 同学 谢谢 昨天 真的 吐血 一碗 一碗 昨晚 1.30 睡 补 概率 基础       概率 问题 能用 理解 模型 理解 理解 没有 参考模型 理解 觉得 大家 应该 坚持下去 呵呵 集合   函数   数列   概率 搞起 邹 老师 讲 挺 有意思 老师 课程 讲完 以后 问题 交流 天大 讲座 估计 这种 讲座 听不懂 gorbirl     读研 读博 每天 看着 大家 高大 谈论 真的 好羡慕 小学生 跟着 大家 真是 长见识了 同学 问个 题外 问题 spark   streaming 小 问题 使用 updateStateByKey 算子 batch 中 所有 key value 会 保存 List 中 数据量 很大 运行 长时间 后 list 会 不会 OOM 出现 OOM 避免 出现 是因为 机制 spark 开发 同学 求 指点 呵呵 matlab   好像 教育 版 免费 高校 sas   安装 报 十几个 G 安装 所有 软件 中 最大 同学 完 机器 学习 课 大家 组个 队 去 竞赛 平台 刷 比赛 去 到时候 一起 组队 竞赛 平台 很多 学完 一起 试试 能够 获奖 邹 老师 火 不好 vim 大神 emacs 牛 逼 awk   写 本书 呵呵 同求 awk   真的 写 本书 vpn   钱 一年 想 买 买 vpn shadowsocks   官网 呵呵 考虑 底层 str 快 int     String   str equeals     三个 步骤 数字 得话 位数 以上 会 一部 操作 还要 循环 多次 判断 步加 判断 搞定 获取 第一个 数是 循环 快 字符串 快 刚刚 scala 做 实验 确实 循环 快 特别 处理 次数 增加 1000000 次 运行 时间 loopStyle   32 微秒       1000000 次 运行 时间 stringStyle   166 微秒     大家 以后 不用 可能 两个 字 肯定 循环 快 位 亲爱 同学 大家 早上好 呵呵 心 真的 飞翔 哈哈哈 发给你 地址 登陆 进去 输入 课程 号 就行了 已经 上课     补课 黑屏 换 各条 线路 不行 大家 着急 昨天 敲 代码 敲到 快 一点 扫到 敬业 福 R     in     action 中文版 买 出版 书吧 问 小 问题 过滤 掉 文本 RDD 前 行 有没有 好 办法 解释 RDD 不会 支持 这种 操作 有点 开 脑洞 行号 一种 办法 这种 数据量 大 可能 会出 问题 刚刚 有个 其他同学 先 take 做 集合 差 parallellize 一次 这种 方法 貌似 不是 好 NND 过个 年 感觉 脑袋 过盾 转不动 分区 咋整 觉得 其实 最 简单 打个 行号 filter 掉 感觉 数据量 大 太 影响 性能 单机 存储 这种 事情 应该 单机 处理 单聊 群里 咱俩 有点 不好意思 直接 输入 课程 号 班级 里面 看到 两个 课程 问个问题 HDFS   文件 block 只 读取 号 block 数据 操作 熟 想 看看 群里 熟 一点 直接 告诉 做 现在 hdfs API 需要 操作 block 减少 读取 数据 尝试 不同 方法 解决问题 3.0 以下 hadoop   版本 支持 擦写 hdfs   数据 不是 其实 需求 简单 离线 日志 文件 只 想要 正式 上线 后 数据 想要 测试阶段 数据 所有 日志 写 日志 文件 里面 这种 情况 只 想要 后 半 部分 日志 全部 读出来 必要 想 不能 只读 后 半 部分 发现 今天 有点 钻牛角尖 谢谢 道理 使用 优点 杭州 公司 目前 处理 数据量 大 不能 spark   目前 中国 贡献者 很多 github 看到 很多 华人 名字 目前 大 数据 方面 技术 中国 不必 美国 差 机器 学习 更 差太多 搞 大 数据 小 公司 基本上 别人 做 项目 真正 大 公司 搞 数据 搞 过来 不要 想 国家 好       高技术 专心 直至 高技术 不错 问题 帮 看看 安装 ambari install   一步 安装 第一个 timeline 出 问题 气死我了 公司 hdp 打通 看上去 却 依赖 cent   os   6.8   安装   nc ntp   启动 没有 郁闷死 去 找 依赖 没有   centos     系统 centos   6.8 提示 去 安装 依赖 依赖 依赖 centos       没有   觉得 这条 路 问题 6666     公司 HDP 没有 ambari   2.4
5,胡涛 兄 胡涛 兄 是不是 所有 课程 报名 ! 福建 朋友 python 版本 2.7 3.5 恩 下载 3.5 版本 恩恩 算 平方 不是 算 ^ 这步 之后 接下去 算 thank   you 爱国 友善 交换 不能 私聊 你加 18046057751 敬业 福 福 换 敬业 福 不值钱 福换 敬业 福
204,有没有 简单 入门 教材 练习题 学习
